event_name,event_link,opis,start_date_and_time,end_date_and_time,event_location,event_organizer,event_contact,event_cost,event_type
REDCAT International Children’s Film Festival,{'url': 'http://www.redcat.org'},"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-09T00:00:00,2014-05-09T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,{'url': 'http://www.redcat.org'},"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-10T00:00:00,2014-05-10T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,,"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-11T00:00:00,2014-05-11T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,,"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-12T00:00:00,2014-05-12T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,,"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-13T00:00:00,2014-05-13T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,,"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-14T00:00:00,2014-05-14T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,,"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-15T00:00:00,2014-05-15T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,,"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-16T00:00:00,2014-05-16T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,,"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-17T00:00:00,2014-05-17T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
REDCAT International Children’s Film Festival,,"The Roy and Edna Disney/CalArts Theater invites film lovers of all ages to discover a world of cinematic surprises. The event includes the best animated and live-action films for children. 

Events take place May 3 - 18 

Times vary, please check website for details 

",2014-05-18T00:00:00,2014-05-18T00:00:00,,REDCAT,213-237-2800,Check website for prices,"Family Friendly, Fairs & Festivals, Culture & Community"
32nd Annual Cinco de Mayo Celebration,{'url': 'http://www.ci.monterey-park.ca.us'},"This annual celebration features a wide variety of entertainers, including folklorico dancers, mariachis, and other traditional Mexican music.  


",2014-05-04T13:00:00,2014-05-04T18:00:00,,City of Monterey Park,,Free,"Family Friendly, Fairs & Festivals, Free, Culture & Community"
Downtown Art Walk,{'url': 'http://www.downtownartwalk.org'},"The Downtown Art Walk is a monthly, self-guided tour of the art exhibition venues in Downtown Los Angeles, including commercial art galleries, public museums, nonprofit spaces, and grassroots arts venues. The event brings together art lovers and community friends to the ever-evolving Downtown Los Angeles.

",2013-05-08T12:00:00,2013-05-08T22:00:00,,Downtown LA Art Walk,,Free,"Culture & Community, Arts & Antiques, Free"
Target Free Family Saturday: Take Me Out to the Ball Game,{'url': 'http://www.anm.org'},"Bring out the whole family for baseball-themed fun that will sure to be a home run!  Sponsored by Target, these special Saturdays are filled with fun activities giving families unique ways to learn, play, and grow together.

",2013-05-09T11:00:00,2013-05-09T04:00:00,,Japanese American National Museum,213-625-0414,Free,"Family Friendly, Free, Arts & Antiques, Culture & Community"
World Trade Week Boat Tours,{'url': 'http://www.portoflosangeles.org'},"In celebration of World Trade Week the Port of Los Angeles is sponsoring free public boat tours of the Los Angeles Harbor.

",2013-05-10T10:00:00,2013-05-10T03:00:00,,Port of Los Angeles,310-732-3508,Free,"Family Friendly, Free, Tour LA"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on May 10 & 31

",2014-05-10T15:00:00,2014-05-10T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on May 10 & 31

",2014-05-31T15:00:00,2014-05-31T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Play Days – Monterey Park’s Birthday Celebration,{'url': 'http://www.ci.monterey-park.ca.us'},"The event is one of the highlights of Monterey Park’s annual birthday celebration. In addition to the parade, there will be four days of rides and live entertainment at Barnes Park. 

This event takes place May 10 & 31, Thursday and Friday 5:00 p.m. – 10:00 p.m., Saturday 12:00 noon – 12:00 midnight, Sunday 1:00 p.m. – 10:00 p.m.

",2014-05-15T17:00:00,2014-05-15T22:00:00,,City of Monterey Park,,Free,"Family Friendly, Holiday Celebration, Free"
Play Days – Monterey Park’s Birthday Celebration,{'url': 'http://www.ci.monterey-park.ca.us'},"The event is one of the highlights of Monterey Park’s annual birthday celebration. In addition to the parade, there will be four days of rides and live entertainment at Barnes Park. 

This event takes place May 10 & 31, Thursday and Friday 5:00 p.m. – 10:00 p.m., Saturday 12:00 noon – 12:00 midnight, Sunday 1:00 p.m. – 10:00 p.m.

",2014-05-16T17:00:00,2014-05-16T22:00:00,,City of Monterey Park,,Free,"Family Friendly, Holiday Celebration, Free"
Play Days – Monterey Park’s Birthday Celebration,{'url': 'http://www.ci.monterey-park.ca.us'},"The event is one of the highlights of Monterey Park’s annual birthday celebration. In addition to the parade, there will be four days of rides and live entertainment at Barnes Park. 

This event takes place May 10 & 31, Thursday and Friday 5:00 p.m. – 10:00 p.m., Saturday 12:00 noon – 12:00 midnight, Sunday 1:00 p.m. – 10:00 p.m.

",2014-05-17T12:00:00,2014-05-17T23:59:00,,City of Monterey Park,,Free,"Family Friendly, Holiday Celebration, Free"
Play Days – Monterey Park’s Birthday Celebration,{'url': 'http://www.ci.monterey-park.ca.us'},"The event is one of the highlights of Monterey Park’s annual birthday celebration. In addition to the parade, there will be four days of rides and live entertainment at Barnes Park. 

This event takes place May 10 & 31, Thursday and Friday 5:00 p.m. – 10:00 p.m., Saturday 12:00 noon – 12:00 midnight, Sunday 1:00 p.m. – 10:00 p.m.

",2014-05-18T13:00:00,2014-05-18T22:00:00,,City of Monterey Park,,Free,"Family Friendly, Holiday Celebration, Free"
Endangered Species Day,{'url': 'http://www.cabrillomarineaquarium.org'},"Learn about marine animals that have been designated by the US as endangered. At the Aquatic Nursery see abalone, species that are part of a special program to increase their numbers. Start with a guided beach walk in the morning, join in a scavenger hunt, a storytime in the library, visit the Salt Marsh and more!

",2014-05-16T11:00:00,2014-05-16T15:00:00,,City of Los Angeles Department of Recreation and Parks,310-548-7562,Free,"Great Outdoors, Family Friendly, Free"
