naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi,kategorije_sifre_new,kategorije_nazivi_new
NK Maribor – PFC Ludogorets,povraten tekma playoff uef europa leagu karta vijola čen bajta petek ura najprej kupec sezonski vstopnica darilo zvestoba veljati nedelja nizko cena vstopnica sedež neomejeno številen vstopnica reden cena ponedeljek nato začenjati faza predprodaja navijač cena vstopnica kupec sezonski vstopnica odrasel eura eura družinski sektor odrasel eura eura cena vstopnica predprodaja vključno eura odrasel eura otrok leto eura navijaški tribuna članski izkaznica viola eura navijaški tribuna članski izkaznica družinski sektor tribuna vzhod sektor eura odrasel eura otrok leto cena vstopnica eura odrasel eura otrok leto eura navijaški tribuna članski izkaznica viola eura navijaški tribuna članski izkaznica družinski sektor tribuna vzhod sektor eura odrasel eura otrok leto prodajen mesto vijola čen bajta mercator center tabor vijola čen bajta center mesto tyršev ulica splet dodaten informacija nakup veljati omejitev personalizacija vstop potrebovati oseben dokument izpolnjen obrazec sedež kupec sezonski vstopnica ostati rezerviran vključno ponedeljek miskupajenosmi videti,2019-08-29 20:15:00,2249,142530682431157.0,3,Sports,3,Sports
Basolovka DNB edition 21.3.2020,lineup srax beatboxx crew fresh mumbleman beatboxx crew rebsti elementz lionshin basolovka crew dnbka ljubljanja vibesa pere basolovka crew damaga over tim drum bass vračati gati hala ljubljanja vibesa skupaj dub club ata gala hala prirejati celovečeren žur pričati najbolj neverjeten basolovka doslej basolovka edition general levy zgoditi gati general levy uspešen žur letošnji januar basolovka tokrat vabiti bližnji celovec znan ime beatboxx crew rebsti elementz klub cika polygon drum and bass beatboxx dogodek redno izvajati floore mešalka srax mumbleman hkrati odličen pokazati dnba gruvati sosednji avstrija lionshin pere basolovka crew poskrbeti pester začetek večer jungla liquid dnba melodija kasno izrazito bolj hard cor selekcija manira razen rollers jumpupa dnbje čas škoda plesišče narediti damaga over tim mlad producent dje znati set drum basso vriniti poskočen dubstep skrbeti konec manjkati heavy weight privrženec pričakovati lahko klasičen odlom zjutraj bass our cas tickets befora after midnight links beatboxx fresh basolovka lionshin pere damaga over tim,2020-03-21 23:00:00,181,356008681090989.0,"2,11,71,240","Music,Drum and bass,Limited to people 18 and older,Jungle music",2,Music
Premik 1na1 - gost: Denis Čebulec,premik govoriti socialen omrežje različen strast sanjski služba svetoven popotnik februar območen obrtnopodjetniški zbornica sežan premikati denis cebulec dogodek helen gerželj denis čebulec sežanec kamera loviti utrinek različen konec svet delo uspešno socialen omrežje šport denisov strast mali noga leto preizkusiti športen model spoznati delo objektiv postajati vedno bolj življenje delo danes strast šport potovanje denis zaupati kje zaljubiti deliti prigoda potovanje razkriti iskati dih jemajoč razgled razbliniti mit izdati skrivnost dober posnetek uspeh socialen omrežje pojasniti želja osebnosten lastnost doseganje uspeh bistven dober telesen pripravljenost skupina premik projekt premik združiti več lokalen kosovelov dom sežan kosovelov knjižnica sežan klub študent sežan ljudski univerza sežan kosovelov soba podlaga sežan zavod štip inkubator sežan območen obrtnopodjetniški zbornica sežan šca srečka kosovel sežan gimnazija ekonomski šola visok strokoven šola sežan,2020-02-28 19:00:00,161,534560816559943.0,32,Causes,32,Causes
Koncert Polanska pomlad - Prestavljeno,koncert polanski pomlad pridružiti sproščen nedeljski zabava počastitev pomlad poljanski dolina skupina ansambel banovšek fant veter marka vozelj trio šubica pag kdaj nedelja ura kje športen dvorana gorenje prodaja vstopnica prodajen mesto sistem eventim tic gorenje informacija volja email zavod poljanskadolinac teti številka,2020-03-15 16:00:00,179,1396483700631169.0,25,Art,25,Art
Lars&Sven® Qlandia Maribor,nov čil frik burger petek sezona odpreti maribor ročno tokrat zategniti center qlandio cesta proletarski brigada maribor ponudba novost kmetija vizjak čil frik razviti izvrsten rahlo pekoč burger poimenovati čil frik burger osnova burger pašen govedina slovenski poreklo popečen krompirjev bombetka pekarna janez delo pravi italijanski mozzarella poseben čil frik omaka pripraviti priložnost kdaj petek ura kje cesta proletarski brigada maribor lokacija nov letošnji sezona lahko foodtruck naročiti plačati lars dobrota enostaven pregleden onlina aplikacija potrditev plačilo minuta dobiti info kdaj naročilo pripravljen prevzem izogniti čakanje prihraniti dragocen čas enostavno hitro pregledno download aplikacija nahajati delovati android ios sistem ekipa lars sven burgers pechakuch maribor pohorje resorta festival lenta ljudski vrt maribor inka maribor mesto bik park pohorje maribor mednaroden festival čil čokolada turisticen drusv maribor naroden dom maribor eleclerc maribor emaribors europarka maribor princess europarka maribor franca kangler teta frid maribor generals maribor generals junior habakuk maribor nka maribor nka maribor novogradnja maribor nogometen klub maribor north sails maribor patrick maribor maribor mama sporting maribor start maribor univerza maribor visiti maribor štuk kmti klub mariborski študent filip flisar marka potrč nik pika čukura boštjan čukura,2020-02-21 11:00:00,752,108480445849805.0,"16,18,23,163,195","Kid Friendly,Food,Food tasting,Food festival,Beer tasting",18,Food
Predavanje analitičnega psihoterapevta Martina Schmidta,slovenski združenje analitično psihologija odprt inštitut psihoterapija sodelovanje ljubljana organizirati predavanje priznan analitičen psihoterapevt martina schmidt sobota predavalnica ljubljana trubarjev cesta ljubljana predavanje angleščina vstop prost obvezen prijava število mesto omejen več delavnica lahko prebrati lepo vabljen,2020-02-22 09:00:00,170,185657051619321.0,5,Other,5,Other
Ladies night stand up z Lucijo Ćirović in gostjama,petek september željen smeh solza pripravljati ladies nigti stand okvir oder prvič nastopiti legendaren komedijantka lucija ćirović lucija zabavati odličen mlad stand komedijantka virc kaja grozina lucija ćirović igralka standup komičarka lutkarica ventrilokvistka sodelovati projekt dober dan znan obraz imeti glas slovenski pozdrav masterchef slovenija voditi prireditev viktor nastopati gledališki predstava film vljudno vabljen vstopnina vstopnina poravnati dan dogodek vhod dalje,2019-09-20 20:00:00,265,152163001571187.0,64,Comedy,64,Comedy
Očistimo Kranj 2020 - sobota 23. maj 2020,ukrep veljati epidemija covid vabiti tradicionalno čistilen akcija očistiti kranje kranje več usran organizirati zveza tabornik občina kranje skupaj kranje akcija potekati sobota dopoldanski čas akcija veljati pravilo ukrep dan stran štab cza kranje zveza epidemija covid lahek organizacija skupina sedaj obveščati udeleženec poskrbeti primerno varnosten razdalja združevanje skupina največ oseba več navodilo naslednji teden namen akcija celoten območje kranje očistiti droben nesnaga nabrati čiščenje pomoč zbirnik zemljevid najbolj kritično onesnažen točka kranje čistiti sklad navodilo komunala kranje odločiti čiščenje področje obsegati krajeven skupnost področje delovanje prositi sporočiti spodnji elektronski naslov uskladiti podrobnost sporočiti oseba pričakovati kje čistiti morebiten pomoč usposobljen član cza kranje zahteven čiščenje varovanje udeleženec vodotok udeležba potrditi torek vodja akcija kleme markelj elektronski naslov ocistimokranje gmailca pravočasen prijaviti tabornik poskrbeti rokavica vrečka odvoz odpadek malica priložnostno darilo lep taborniški pozdrav,2020-03-28 09:00:00,237,593807354069564.0,32,Causes,32,Causes
Dan zimskega kolesarjenja v službo / šolo,dan zimski kolesarjenje služba šola opravek vsakoleten globalen dogodek pozitivno vplivati zdravje okolje sodelovati prijaviti tule srečno varno kolesarjenje,2020-02-14 07:00:00,209,111980668819694.0,27,Health,27,Health
Dobrodelni koncert,gasilec pgd petek maj ura športen dvorana dobrodelen koncert nakup nov gasilski vozilo koncert nastopiti ansambel stil smeh golt krajcar slovenski pjebati vesel šus kvartet pušeljc soulution pevec samantha may jakob zagožen moški pevski zbor karl virant koncert povezovati dejan ikovica vstopnica volja prodajen mesto pošta tica bistro nov kobula bistro bba bistro grešen kozel mali tica mozirje cena vstopnica eura kontakt pgd primož urbas,2020-05-29 19:00:00,224,224723738315235.0,2,Music,2,Music
Seka Aleksič PURE Night Club Ljubljana,sobota oktober znamenje prelesten diva balkan karizma večen hiteti razvajati leto prihajati edin sekati aleksica svetlana aleksić rosen prvič nastopiti mnog estradnik sekati pot začeti balkanski gostilna danes lahko pohvaliti studijski album legendaren hiteti pravi balkanski zabava mati pevka igralka voditeljica dizajnerka kraljica sekati zagotavljati nepozabno noč club pura vstopnina vip rezervacija miza rezervacija pureljubljanac pura club ljubljana cesta ljubljanski brigada šiška ljubljana slovenia informacija info pureljubljanac,2019-10-05 22:00:00,818,445713185468708.0,2,Music,2,Music
V a b i l o !!**********,tekmovanje dresuren jahanje finale pokal oktober vabilo propozicija sobota nedelja najti spleten stran konjeniški zveza slovenija,2019-10-05 08:30:00,136,253700294708906.0,"3,4,16","Sports,Volunteering,Kid Friendly",3,Sports
Pustna povorka v Dupleku,tradicionalen fašanka vračati duplek tokrat pomagati odgnati zel zimski duh priklicati pomlad pozor konec povorka noro zabava poskrbeti naroden zabaven ansambel udar razpored povorka ura zgornji duplek zbiranje skupina prijava formiranje sprevod ura odhod povorka zgornji duplek zabreg prireditven prostor spodnji duplek ura prihod povorka spodnji duplek podelitev nagrada dober maska ura naprej zabava naroden zabaven ansambel udar prireditven šotor ansambel udar poskrbeti noro fešta vstopnina,2020-02-22 13:00:00,345,104709639567405.0,15,Party,15,Party
Klinični vikend 2020,letos leto odvijati tradicionalen kliničen vikend kjer imeti priložnost poslušati strokovnjak področje kliničen psihologija organizacijski ekipa pripravljati pester program predavanje različen področje kliničen psihologija letos nov organizirati okrogel miza tema duševen motnja zanimati kliničen psihologija potem zamuditi dogodek zanimati letošnji predavatelj predstaviti spremljati dogodek kjer pravočasno pridobiti dodaten informacija prijaviti letošnji program prijavnina letošnji udeležba član dšps nečlan prijaviti videti,2020-03-13 16:15:00,417,187649124605220.0,5,Other,5,Other
Odpovedan 45. zimski pohod na Porezen,cerkno leto zimski pohod porezen namen druženje planinec slovenija zamejstvo zimski čas pohod marec spomin bitka porezen danes prerasti najbolj množičen prireditev gora danes enkrat pohodnik posebnost zimski pohod začetek voditi računalniško evidenca pohod pridobiti značka priznanje opažati manj polovica pohodnik skupno število pohodnik velik pohodnik udeležba prejeti bronast štirikraten srebrn udeležba zlat značka plaketa prejeti pohod desetkrat priznanje dvajsetkraten štiridesetkraten udeležba,2020-03-21 07:00:00,411,179336226278450.0,5,Other,5,Other
Vitja Balžalorsky - The Law Of Attraction - promocija plošče,lawa attraction promocijski večer solističen plošča kitarist vitje balžalorski tokrat plošča predstaviti tipičen oblika promocijski koncert enostavno zavrteti celota iti lawa attraction posnetek koncert lahko reči reprodukcija poslušanje poslušanje zgoditi odzveneti kakorkoli album zamišljen namen poslušati način gledati film lahko reči projekcija glasba lawa attraction solo album posnet defonija opening act legendaren klub gromek iziti naslednji dan založba zvočen prepih glaven nit album meditativno dronerski kolaž kitarski manipulacija spominjati kitara manjkati bolj eksperimentalen moment plošča učinkovati poluren kompozicija kjer slišati nežen meditativen moment brutalno devianten zasuk jackson pollock meets andrea tarkovsky kitara poslušanje plošča odviti kratek pogovor glasbenik jako berger brgs ustanovitelj založba zvočen prepih hitro predstaviti plošča povedati celoten proces nastajanje projekt vstopnina vključevati brezplačen download album vitje balzalorsky bolj prepoznaven dejaven glasbenik slovenski glasben scena glasben izraz segati jazz elektronika trd alternativen glasben zvrst nois improviziran eksperimentalen glasba sodelovati zasedba balžalorskydrašler komba zlatka kaučič orchester senz confin buch borghesia hoc projekt različen slovenski tuj glasbenik dejaven področje kreativen improviziran glasba oblika umetnost zadnji obdobje najbolj dejaven zasedba carnavati bees litošt olfamoštvo jeseni postati član legendaren kolektiv zasedba laibach redno koncertirati ustvarjati znotraj kolektiv,2019-10-02 21:00:00,230,410276612466714.0,"2,213,297","Music,Free improvisation,Free jazz",2,Music
Mambo Kings in Tanja Žagar,soboten večeren žur poskrbeti skupina mamba kings tanje žagar velik šotor uživati dober glasba noro plesati vstopnina,2020-04-04 21:00:00,1685,129002367674177.0,15,Party,15,Party
